# blog_export commit map
#
# The archive's history was rewritten onto the archive/ prefix when the
# two repositories were merged, so every commit imported from
# jasongrout/blog_export has a new hash here. This is the mapping, as
# git-filter-repo recorded it: old hash (in blog_export, which is
# archived read-only and still resolves them) then new hash (here).
#
# old-blog_export                          new-medium-archive
006e07e9b97fcadeba3d1a2fd86731c4ee5fdc09 93b4538114a43b74f02fb967f30b428c1d2b2e8f
013f7d85d298379999afc670628ce1f888df1c21 af15148119268a932bcef798092c77c6d1f66ee4
01d8bf3440ce963098893f8bd7cf5c35f417996c 38c29357511fc0900a930c65949afdfa878e2d81
035dc56cafd63dce60e6a3ff9bd8ea0b924411bf 0c42e1b4c7c3f2b4501908f60d3678a7c3145cd4
082ebc1744c96e967c627de7a3fed05a177ce7c4 bc6ca776f0e0b78faf2a9af0981ee457b5f19cfe
0c107afd32e99a6a3e1d045fb2cb92e47ad4ad66 2c6dde902a808198ac3bf8264fa1c02b0e468663
1524d530632a9ea653f8eacbb8c83cd79307f30d 03dd2060005c048746d24ad8b710abfdcb4c8ee9
166bae9f0d6819ee2465bc5623faf21e52987468 54dfe9ad4b1b5bdcc2fcb480e0d5a2337cf6f3cf
1699717b2a6042c0564f9e677836ad4ecfabd422 fd1a2557a8333f5f019a9f1ff4ddae48c9f526cb
169a0a0e0051e85a3724715089b5f6cae6b3db3d 0a22155ff2a31d12626d14c78ae38027f5990dee
1998966f8ff6bb6b26a80984c2639be9026d114f ff47476bce07e3ef6fe260110257d70665fb0728
19f3615f908d377635818d06841ab075294f3c9c 794edd2365378fb9974205d676549cf9fea9bb87
1b7bb2b6d700c48c437dcc32c09a2e21b7b31bd6 e76ef8820b76546ed5afbe9be8e50b9b0d7ad153
1caaa330262deb554f0068ff400b596b01746341 cb3f744112faa9435dd088d60c0a5fd022d7e54e
20ecb5d313bbcd882ed959ad38bfe959437f8fff e20cad9f6d064a2e855a29f5800e537d6d0f126e
24aa6637157bbafb8e37d5e912ebdbd665fb996a 22e5c6cb1cdd338ad82583c82ff019b1a461d47a
26a2dc7e27c30bd3c544d9f7d5121e2e48b0ede3 dc812870e4362f3f6120f1478864aeb820009363
28bb063495fc16ae89ae530eb42604578ef782af 0ac874b8f330a8d12e4c4f870929b0d2df1cefc2
2991b5b61994eabd4367badde54928e350f0cc1c 67590f642e79abdd7f928b433be7fd9f5b3799de
2ea0ad8dc1b9a90b9006ec54263af5e4748e1346 f33f61e5668cfc513e57a6d134b7be755f375d05
2f5b679923a7fbddb73ca8d96bb6b3c41f8b2280 d84bed631d50a5a22647efb654fe4f439c254857
301b8ee9829152da98e0a9eecb6a34ee5e08bc85 77fd7d9fb0c6e902007175c31daaa131a25d24f1
3170420647fa97bb1bcdf134f0960ac570f59570 1ad1595e862cefa201fd8740cfe05fe87c596b51
35d51c39c6131d488224126d4c2879d31e7dca31 3d7e586a55f0e00a56b8a35d8b74f257588b9ae1
3666e1a487a5d1191b0503b8f5a2964bbd0e56f8 d1d93b85dbbb7ba4048275f2026f8bb265e27d48
36de215994b3fc7e9fc13448677f01d1fdf88332 ae94a9bcffaa60e0e249f23d890100a18aef09da
38c80e64d3db9f363616ea077e784924827cc344 8120159e7d00e3ac3e18da86870834c77f0a68d8
3e8f219c05a0b639fe227ecc1c0bf7aa2a0053fe fcaefe0f822e0b0f8f88e9933df31ab5f8a34a44
3fee2be89f75b0de615b009ecf3d36d037e3b8ca 49254229dbe3a31006c36e1c63dc19c92a8e9bd0
404a32d3c6030b27a217b47618cca52bbcd1a8c6 bdec9f5d348106781ee6beb75a7bc28fcf583aa3
408001b8833f4fd6d0442ae8274dde979f2065a1 6fd0bd45ea52446790abebbab39583b5652c1bd0
40d19f0a94631c9ad095b3038ec28d46bdc5fe90 6bc724b96c28a543578423efd101d1d807b1721a
43ba9914181043c87adc9f1d62a009c01e8f2ce0 46bc0544c68b7f4ff6fb895b43f81b202f9cf67c
4742e3564d37575216217fc543af24e868fcd219 08ec07014ac1f8f6fece0c9d3b2e473b29ef0764
4a236ae68b8dcd3bcd62adfbb42abfdb1a659a11 fce45332c43bd373ecade0acb6b2bada0185bf5d
4afe50e8760c3d8c97c9826cb0adaefbc2d7eec8 26299e34a0f23fadca7ae133d51e035b99262aa5
4c78bcf33ecc7947822bbc55ef09ed2bf184c268 a59b0d6b0627ef953c584da458c589c026f1715d
4ca95a309c718db3be08c8804d183fa673ba200d 17e67b36a60850889f2a090ee5cb5647bd04baef
4d7c5a7a13681b2139acf3f05ac5265f5e2e209b b14c74f13e39c124dc6389e1521832d55abee42d
5017dd69335e8a76cea325a469296a7c1c825372 8ca60fe150dfbbebd8dd86c781f23b14899c8211
5137f089033627521391b0e11d80fb512f7a48c6 2eedceefe5ae4480c5f2066f12d6b8e28936734b
5404faecf714c5340718e36bac9da6d67de91185 de7d75859acf35943f3f8b480af66948ebed93d3
551c287d574817ad9a7187037d50bbd6e9cef445 605670a1989d51e365a638aa06aa941b25bfede6
55582d2478c8e449d7989aaad8034da89c11d249 e1e5403bb30b47abe380154b1484b1bf25161187
569b020f35fe0da3a7dde4c62c29bbcf4e79479d 4b65f1ce34f4160b804af0acf8cfa590763f71ee
59d25418c2d75215b446f5ca338ca579ae6b05f2 6cdcfc58780db0d3a44a03e4a34d25e3d6993525
5b1e658ed476a2ad952b28ccd7f9083fd245850f db25c3e240f4ab60bfee0ef93e9eb872ac9090a3
5d39bc2255bd2065f891307839e543715e9313b4 1370501c94f5bd88450e568fe607a6fc61822677
5e9a7ad2117122a39edf76edd3dbb6e4a5e8410d 02c743dc067023db87cfe009d125785b2549247c
5ec63efb4188ecc579a25b67295d5a9aa49201ff 99cc79a0b13932c890a0c4e3809570492aeef37c
6385c2c64a5c2d62501e63a083802e68b7cc7acf 170dc0df03bc360cd7da2dd3cf8e36172aad5ec0
64c33f01ea0de399d904de6ad79904f68ed871ea 0ba88113f760b0ac6f2d97a915d64c97afc904ed
6518d2e78378634c271196233018f854fdf1b0b7 800613d70e092b5475330ddcf59ec131faf3ed9c
664ffbd77ad8987e080d8f7f0e525b2231b002bc 732e8caad5f2c425c62dd456ecd51180d909611b
690a97a4f01a70cb30175cf00ca592360df55848 47864f360278b83d881126c93aa3a0b78d116b6e
6a8ec6cd63c92c3a004e14dd2946dbbf797141e2 28ae26a2d053d38d31714cec7cf649f6927d68d8
6cfdc28367e84a75f52b5226a9c40e07c4671919 e1cab10bb2600aab1e8d1d91b77ddc8e1d7f41fd
6d14c978c721f9a8614c50ba6d4db1b649d1a6d3 b4c188b6c63d1b7e0e995e580f94eeb78e19b8e9
6ea26f839c04a642636c3e492cb4045ec6eeda33 32ebe66218154c5ae7e6d6dcf91fc72ea60fef09
6fd80c36bdb5cfd11494e6cd88ca9f2e5d7470ff ac93856b614ed26af944e4fe7de1f9bc94754c9b
7046ac37b0d90d73d7b9bec9323e928c6d5bf1cf b4a0e642045b916f54cff0203d46a62b4a592ac9
70f85346e5949b678932d22a8768d7adb3246f41 dd3cbe6650e020af67482570ee14a12dc6d9857c
73534ed49e554e74452946f0d9974aba21fdb365 c6c6a4136ffde9600410970b66eeb04cafb04900
7390db3f5dad5a672994f562db24a46a9f23f64f b63f97e0f4c1fb5140997e696e5045d116900352
73e026ec4091403a0239096eabb7abffb7ab2e84 006430e973bd9dde3a70003e0800d3b9bb504cfe
74083c9b5d4c0d5f6ac19fa527de20210f55a757 4629a7e78d802b91fad10244b707b21fc8bf5e90
740cadc90eb17488c5b5cf71de5128922d05cba4 11de245cf7ebaa9f84762c782772fb4f6eb91a65
7494d4ee3d7e8d849054ffb7b66c029d51d9c782 31f3ef6ee98bdd7cd3bee3cb9d697d075751d003
79d6ee811678ce9ed1bbdee8139e4a9543b5794d bb89733c3a7fe0069c444f45efc7d4e95abc6820
79e88ca795c03a7092cea793cfecb5f30e1ed5f0 f89d61bffc8c39016e0dceda328af01d6a81be86
7bb00f9b0494d3cc4beb285f5143d398c7f99b0c 0b44c5fd3190abdd1b58803a73bac6375a1ff2fd
81ac6ce16d6fb9eb3915d2243f16a24e31ab88dd 103f9fa7bf3c2ea9b133a70111289595864c4265
82b98922a4febbecfb5269f7af8f743fd804616a 31d060af4a4ff8d3f19e56b6a93589690b4a7c46
85f94a9386f5792107bf010153f5e8422a644481 edfb60a334dd2ac7b4f79550adbfc126f0ffd40a
860d7045ce989dc5c4e1963cb972cf010ca4a22f d17a7d4d97ee471d0e8212d6e14a89e5c907969c
8854f96cc4f5836ab27daaec3f9ef70682a8a4c2 080ed68576955f90cb4aa32b5d79ce8257069e68
88a2ffa75282c2050ec4f6fe9cbec4f254a476e0 d775eeb36f6f540b38950158880fcb842f7412b5
