bytes	frames	size	duration_ms	short_frames	loop	transparent_first	transparent_any	duplicate	sha256_12	path
22595504	851	1798x1390	14190	283	0	False	False	0	65b119ed1aed	archive/raw/bd2524b247c2/images/005-1_AQTFHOwHXS3uJUC6WKR6WA.gif
22526770	510	1208x720	17010	0	0	False	False	0	e832bf3c90f1	archive/raw/77df24c8db80/images/002-1_OEJksEVfQVZugt_d6EYXBQ.gif
19884745	302	960x732	13780	0	0	False	False	0	f250fcb1de2d	archive/raw/164eb2eae102/images/003-1_vSfRgAQN2UnfDlYmhjruSg.gif
19023361	2190	1616x1568	73010	0	0	False	False	0	7ff15e109c21	archive/raw/3ee42dfdc54f/images/002-1_B3qjACXLBG9pBOlzY8WNxA.gif
17564258	101	1836x970	10100	0	0	False	False	0	4d1922bf44e1	archive/raw/2e432df402c8/images/013-0_ArP2iU5tKYDHvvZd.gif
16110747	536	800x708	53600	0	0	False	False	0	14815f022fc4	archive/raw/701e7b9841e6/images/002-1_ViuKQhOWZPVULL6kQOPwPw.gif
16074711	179	1022x1077	17900	0	0	False	False	0	bccb659ff6e4	archive/raw/a2ce7ef99130/images/003-1_6WMGnuNAAToGvOooOvvmLg.gif
13593545	246	2642x1872	13830	0	0	False	False	0	8c31e5fb3b64	archive/raw/164eb2eae102/images/007-1_OsSPlHcgfeF8ehIPGtFmpw.gif
11992308	125	1920x1080	10000	0	0	False	False	0	c20c2d3d8200	archive/raw/c9d93542f20b/images/014-1_TxNBjy8ovN1LbrQ1UYejAQ.gif
10823198	186	1360x720	12390	0	0	False	False	0	78b033a289f9	archive/raw/fc998095081e/images/001-1_dioQ00ymlsIb1PPH_SBdjg.gif
9036192	1058	938x678	35260	0	0	False	False	0	ee36c3984822	archive/raw/f8151c2cc6e8/images/003-1_UZ42uWfkmSasuyGWFRI2ZQ.gif
8358735	955	1600x900	31830	0	0	False	False	0	60549c2f82f8	archive/raw/8096b8b223d0/images/002-1_YNXP-hnVMyrpRjDwMyFBtA.gif
8217359	500	751x360	29480	0	0	False	False	0	c23174310e91	archive/raw/fe9b54227d92/images/013-1_PBrf5vWYC8VTq_7VUOZCpA.gif
7731971	161	1500x900	16100	0	0	False	False	0	835d675da072	archive/raw/52f9657fa7a/images/002-1_a8s90I7Kj3DyBjmh_LjAaw.gif
7458972	240	2556x1716	12320	0	0	False	False	0	14199b1415ad	archive/raw/164eb2eae102/images/008-1_0vn1t-SlN8LvAKLrVAiHoA.gif
7416272	33	1360x1256	9710	0	0	False	False	0	a39bed393c71	archive/raw/cda20dc15a21/images/007-1_rVDzJqp1EHI9UzzgkPzlqw.gif
7267786	489	1800x841	20120	0	0	False	False	0	ba7f41dcc62e	archive/raw/cda20dc15a21/images/015-1_9gJsZRQ9CUEd2Uz_I_BBJw.gif
7001338	487	1300x523	30880	0	0	False	False	0	9bdb17890b10	archive/raw/61a593c0752d/images/002-1_lPmCcgJois-PygoFXI6Bhw.gif
6958876	348	1646x782	17880	0	0	False	False	0	5c9c51e863e5	archive/raw/8eb9e8f81f0/images/007-1_DgAD-S5mvLOEK6RtDM8GZA.gif
6932403	117	1000x600	14110	0	0	False	False	0	847be149de78	archive/raw/52f9657fa7a/images/003-1_02DmPnByfXtPkeYnytNvfA.gif
6836816	414	2860x1856	13810	0	0	False	False	0	6247ea8f50a8	archive/raw/b4bc69bfc8f4/images/008-1_cjJGJmrDUisWFcVejvqytg.gif
6756333	169	800x469	16900	0	0	False	False	0	273af7afcf9b	archive/raw/03e6b78bacc0/images/001-1_gyuKfOzFSbmRhH9LVBTJiA.gif
6543178	963	1266x970	24070	0	0	False	False	0	6ad5ec566bda	archive/raw/cda20dc15a21/images/005-1_uPfz8srjXR24dtFm8wVBQg.gif
6195445	380	1508x1017	38000	0	0	False	False	0	3ea52122a117	archive/raw/379e96bb199d/images/009-1_Iwg6iPSZmr5o1ZozOlJXDQ.gif
5986280	691	1764x860	12900	564	0	False	False	0	fcdf1380543b	archive/raw/11e5dab7c54/images/006-1_DQA3TQcVSJBtWxSMD-sq-g.gif
5973238	373	2545x1302	31510	0	0	False	False	0	c97685deb5da	archive/raw/8eb9e8f81f0/images/006-1_4lDSgoYLrUqX7SQul_yXxw.gif
5970959	178	800x708	17800	0	0	False	False	0	185b26f5fbc8	archive/raw/701e7b9841e6/images/001-1_FbGYR9TzYpyDBD7HRmHMyg.gif
5953764	440	687x491	23130	1	0	False	False	0	41f5ce98e98f	archive/raw/11e5dab7c54/images/002-1_PNV_xAcapA3ONJZwuCKnfg.gif
5777936	232	1645x782	17940	0	0	False	False	0	925ecc270e4e	archive/raw/8eb9e8f81f0/images/008-1_QD98Lrlr7_CJfgVbxHhf6w.gif
5616288	213	2560x1378	8520	0	0	False	False	0	e40ea672991f	archive/raw/a9e1300ab3b2/images/003-1_Gwq82pb0qAInlPUJm_-JYA.gif
5395913	316	2100x1556	14420	0	0	False	False	0	26d626b3dad0	archive/raw/164eb2eae102/images/001-1_VCG-57YX8IrfTyeby3Ybjg.gif
5370521	551	2504x1320	23130	0	0	False	False	0	5b1b832ef901	archive/raw/a9e1300ab3b2/images/002-1_djVMI5ujhEq6xVbYJNzuuA.gif
5316473	231	1227x800	49440	0	0	False	False	0	858f44e10063	archive/raw/0515d4c41a61/images/001-1_x9r8gIqX1wbubuE8sT6GFg.gif
5184746	620	1196x648	62000	0	0	False	False	0	c299d5412316	archive/raw/2884a462e724/images/005-1_32qRaKxSbihtMaetq6jFog.gif
5149375	39	500x500	2590	0	0	False	False	0	985e8c397d5c	archive/raw/52f9657fa7a/images/001-1_YA26aVkLDM1KXjNtGu5-Hw.gif
5144681	324	1916x924	21590	0	0	False	False	0	d681e86aec06	archive/raw/af68ed6648a6/images/005-1_xOABVY2hNtVmjV5-LXreFw.gif
5011442	130	1000x600	14080	1	0	False	False	0	cb65cd464ca3	archive/raw/52f9657fa7a/images/007-1_u2J2aJy6FfBaFytG0ppruw.gif
4758279	461	1038x554	107300	0	0	False	False	0	9f2461991780	archive/raw/99c56ae56c47/images/002-1_S2B9CFCZi4fLA-spXbqhzg.gif
4405065	112	800x487	5590	0	0	False	False	0	6f37baa05c12	archive/raw/c57a5bb518d6/images/002-1_681fIddZAaQc8w72MmmIiw.gif
